created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2024-09-06T15:58:30-04:00,112,0,78.62,61.3,,,,
2024-09-06T15:58:55-04:00,113,1,78.62,61.0,,,,
2024-09-06T15:59:20-04:00,114,,78.62,61.0,,,,
2024-09-06T16:00:26-04:00,115,0,78.62,61.0,,,,
2024-09-06T16:00:52-04:00,116,1,78.62,61.0,,,,
2024-09-06T16:09:38-04:00,117,0,78.62,61.0,,,,
2024-09-06T16:10:05-04:00,118,1,79.16,60.6,,,,
2024-09-06T16:11:32-04:00,119,0,79.16,60.5,,,,
2024-09-06T16:11:58-04:00,120,1,79.16,60.6,,,,
2024-09-06T16:13:44-04:00,121,0,79.16,60.6,,,,
2024-09-06T16:14:09-04:00,122,1,79.16,60.7,,,,
2024-09-06T16:22:56-04:00,123,0,78.98,60.6,,,,
2024-09-06T16:23:22-04:00,124,1,79.16,60.6,,,,
2024-09-06T16:26:48-04:00,125,0,79.16,60.6,,,,
2024-09-06T16:59:18-04:00,126,,78.44,60.9,,,,
2024-09-06T17:59:09-04:00,127,,76.64,63.7,,,,
2024-09-06T18:59:20-04:00,128,,75.2,65.2,,,,
2024-09-06T19:59:11-04:00,129,,74.12,66.6,,,,
2024-09-06T20:59:23-04:00,130,,72.86,68.3,,,,
2024-09-06T21:59:14-04:00,131,,72.32,69.1,,,,
2024-09-06T22:59:26-04:00,132,,71.96,69.8,,,,
2024-09-06T23:59:17-04:00,133,,72.14,69.6,,,,
2024-09-07T00:59:07-04:00,134,,72.14,69.4,,,,
2024-09-07T01:00:40-04:00,135,,72.14,69.5,,,,
2024-09-07T01:02:32-04:00,136,0,72.14,69.4,,,,
2024-09-07T01:59:22-04:00,137,,71.42,69.1,,,,
2024-09-07T02:59:13-04:00,138,,71.06,69.1,,,,
2024-09-07T03:59:24-04:00,139,,70.88,68.8,,,,
2024-09-07T04:59:14-04:00,140,,70.88,68.4,,,,
2024-09-07T05:59:06-04:00,141,,70.52,68.3,,,,
2024-09-07T06:59:18-04:00,142,,70.34,68.1,,,,
2024-09-07T07:59:08-04:00,143,,70.88,66.6,,,,
2024-09-07T08:59:19-04:00,144,,71.6,65.4,,,,
2024-09-07T09:59:10-04:00,145,,73.04,63.2,,,,
2024-09-07T10:59:21-04:00,146,,74.66,60.0,,,,
2024-09-07T11:12:40-04:00,147,1,74.66,60.0,,,,
2024-09-07T11:14:27-04:00,148,0,74.84,59.9,,,,
2024-09-07T11:59:07-04:00,149,,75.92,59.2,,,,
2024-09-07T12:59:18-04:00,150,,76.28,58.7,,,,
2024-09-07T13:59:08-04:00,151,,75.92,59.8,,,,
2024-09-07T14:59:19-04:00,152,,75.92,60.5,,,,
2024-09-07T15:59:11-04:00,153,,75.02,62.0,,,,
2024-09-07T16:59:22-04:00,154,,75.02,62.6,,,,
2024-09-07T17:59:12-04:00,155,,74.12,64.5,,,,
2024-09-07T18:59:23-04:00,156,,73.22,66.8,,,,
2024-09-07T19:59:14-04:00,157,,69.44,70.5,,,,
2024-09-07T20:59:06-04:00,158,,69.62,67.7,,,,
